product_category,product_type,sku_prefix,retail_price,wholesale_price,moq,recommended_markup,cogs,profit_margin,notes
Core,Heavy Tee,CORE-HVT,48.00,24.00,50,2.0x,18.00,25.00%,"Standard core tee, all regions"
Core,Heavyweight Hoodie,CORE-HWH,120.00,60.00,25,2.0x,45.00,25.00%,"Standard core hoodie, all regions"
Core,Canvas Tote,CORE-TOT,24.00,12.00,100,2.0x,7.20,40.00%,"Entry price point item, high margin"
Core,Socks,CORE-SOK,18.00,9.00,100,2.0x,5.40,40.00%,"Entry price point item, high margin"
Regional,Regional Tee,CHI-HVT,52.00,26.00,25,2.0x,19.50,25.00%,"Chicago regional, Lake Effect Grey"
Regional,Regional Tee,DEN-HVT,52.00,26.00,25,2.0x,19.50,25.00%,"Denver regional, Mountain Blue"
Regional,Regional Tee,AUS-HVT,52.00,26.00,25,2.0x,19.50,25.00%,"Austin regional, Limestone"
Regional,Regional Tee,PDX-HVT,52.00,26.00,25,2.0x,19.50,25.00%,"Portland regional, Overcast Slate"
Regional,Regional Hoodie,CHI-HWH,125.00,62.50,15,2.0x,46.87,25.00%,"Chicago regional, Lake Effect Grey"
Regional,Regional Hoodie,DEN-HWH,125.00,62.50,15,2.0x,46.87,25.00%,"Denver regional, Mountain Blue"
Regional,Regional Hoodie,AUS-HWH,125.00,62.50,15,2.0x,46.87,25.00%,"Austin regional, Limestone"
Regional,Regional Hoodie,PDX-HWH,125.00,62.50,15,2.0x,46.87,25.00%,"Portland regional, Overcast Slate"
Regional,Regional Tote,CHI-TOT,28.00,14.00,50,2.0x,8.40,40.00%,"Chicago regional, Lake Effect Grey"
Regional,Regional Tote,DEN-TOT,28.00,14.00,50,2.0x,8.40,40.00%,"Denver regional, Mountain Blue"
Regional,Regional Tote,AUS-TOT,28.00,14.00,50,2.0x,8.40,40.00%,"Austin regional, Limestone"
Regional,Regional Tote,PDX-TOT,28.00,14.00,50,2.0x,8.40,40.00%,"Portland regional, Overcast Slate"
Premium,Waxed Chore Coat,CORE-WCC,320.00,160.00,15,2.0x,120.00,25.00%,"Premium mainline product, all regions"
Premium,Slub Collab Tee,COLLAB-SLT,60.00,30.00,25,2.0x,22.50,25.00%,"Artist collaboration, limited edition"
Limited,Artist Series Tee,ART-TEE,75.00,37.50,10,2.0x,28.12,25.00%,"Ultra-limited artist series, numbered"
Limited,Market Exclusive,MKT-EXCL,65.00,32.50,5,2.0x,24.38,25.00%,"Market day exclusives, extremely limited" 
